cut,ntr,nte,model,depth,n,units,roi,hit,be,edge_pp
2026-06-20,655,473,E_outcome+price,0.05,24,6.200782148608236,25.83659228586765,62.5,49.0599959855521,13.4400040144479
2026-06-20,655,473,E_outcome+price,0.1,47,8.227673373325548,17.50568802835223,59.57446808510638,50.63916073230782,8.93530735279856
2026-06-20,655,473,E_outcome+price,0.2,95,5.962842149798672,6.276675947156497,54.736842105263165,51.06586178334648,3.670980321916687
2026-06-20,655,473,E_outcome+price,0.3,142,6.307967636228507,4.442230729738385,54.22535211267606,51.454020960718026,2.7713311519580373
2026-06-20,655,473,E_outcome+price,0.5,236,-5.5911261638023255,-2.3691212558484427,50.847457627118644,51.90406537317366,-1.0566077460550147
2026-06-20,655,473,F_payout_weighted,0.05,24,5.257142857142858,21.90476190476191,58.333333333333336,46.446286533723686,11.88704679960965
2026-06-20,655,473,F_payout_weighted,0.1,47,3.7751092707614458,8.032147384598822,53.191489361702125,48.828174568935275,4.36331479276685
2026-06-20,655,473,F_payout_weighted,0.2,95,-2.1518945627641273,-2.2651521713306604,49.473684210526315,49.98643410692244,-0.512749896396123
2026-06-20,655,473,F_payout_weighted,0.3,142,3.5249130096956187,2.4823331054194497,52.112676056338024,50.52471416996775,1.5879618863702731
2026-06-20,655,473,F_payout_weighted,0.5,236,-7.65898330665947,-3.2453319096014703,50.0,51.21930424637971,-1.219304246379707
2026-06-20,655,473,G_ridge_PROFIT,0.05,24,3.1346330802852544,13.060971167855225,58.333333333333336,51.299608419684574,7.033724913648761
2026-06-20,655,473,G_ridge_PROFIT,0.1,47,11.505163596467945,24.479071481846688,63.829787234042556,51.47737361992309,12.352413614119463
2026-06-20,655,473,G_ridge_PROFIT,0.2,95,8.189092208807352,8.620097061902477,56.84210526315789,52.16821193382232,4.67389332933557
2026-06-20,655,473,G_ridge_PROFIT,0.3,142,6.2395540255735185,4.394052130685576,54.929577464788736,52.23426910035811,2.6953083644306233
2026-06-20,655,473,G_ridge_PROFIT,0.5,236,-4.109956497148783,-1.7415069903172808,51.69491525423729,52.38077786904761,-0.6858626148103255
2026-06-20,655,473,H_ridge_PROFIT+price,0.05,24,5.565067862893949,23.18778276205812,62.5,50.38766506588076,12.11233493411924
2026-06-20,655,473,H_ridge_PROFIT+price,0.1,47,9.944857638335902,21.15927157092745,61.702127659574465,50.89789389856081,10.804233761013656
2026-06-20,655,473,H_ridge_PROFIT+price,0.2,95,10.79457667935929,11.36271229406241,57.89473684210527,51.51829234340178,6.376444498703485
2026-06-20,655,473,H_ridge_PROFIT+price,0.3,142,6.489888473734052,4.57034399558736,54.929577464788736,52.087357312401004,2.842220152387732
2026-06-20,655,473,H_ridge_PROFIT+price,0.5,236,-5.673762046438206,-2.404136460355172,50.847457627118644,51.93254605289531,-1.085088425776668
2026-06-20,655,473,I_gbm_PROFIT,0.05,24,-2.5636834180312436,-10.682014241796848,45.83333333333333,51.77545532410291,-5.942121990769579
2026-06-20,655,473,I_gbm_PROFIT,0.1,47,-2.0223187336791826,-4.302805816338686,51.06382978723404,52.93861121688286,-1.87478142964882
2026-06-20,655,473,I_gbm_PROFIT,0.2,95,-2.5764853594350123,-2.712089852036855,51.578947368421055,52.57566326151275,-0.9967158930916966
2026-06-20,655,473,I_gbm_PROFIT,0.3,142,3.796191158893679,2.673374055558929,54.22535211267606,52.633107953793655,1.5922441588824086
2026-06-20,655,473,I_gbm_PROFIT,0.5,236,4.447955187640592,1.88472677442398,54.23728813559322,52.8659769156045,1.3713112199887192
2026-06-20,655,473,J_gbm_PROFIT+price,0.05,24,-5.113683418031244,-21.30701424179685,41.66666666666667,51.989308352156826,-10.322641685490154
2026-06-20,655,473,J_gbm_PROFIT+price,0.1,47,-1.6437473051077545,-3.4973346917186268,51.06382978723404,52.22110464384071,-1.1572748566066693
2026-06-20,655,473,J_gbm_PROFIT+price,0.2,95,-1.8704695361778119,-1.9689153012398022,51.578947368421055,52.07453155814655,-0.49558418972549845
2026-06-20,655,473,J_gbm_PROFIT+price,0.3,142,-7.464043836273852,-5.256368898784403,50.0,52.46322633263243,-2.4632263326324306
2026-06-20,655,473,J_gbm_PROFIT+price,0.5,236,5.978069134995912,2.53308014194742,54.23728813559322,52.614945059708774,1.6223430758844444
2026-06-20,655,473,K_PROFIT+price+pmodel,0.05,24,3.3650678628939494,14.021116095391456,58.333333333333336,50.766452944668636,7.5668803886647
2026-06-20,655,473,K_PROFIT+price+pmodel,0.1,47,9.944857638335899,21.159271570927444,61.702127659574465,50.89789389856082,10.804233761013649
2026-06-20,655,473,K_PROFIT+price+pmodel,0.2,95,10.794576679359288,11.362712294062408,57.89473684210527,51.58384283093355,6.310894011171719
2026-06-20,655,473,K_PROFIT+price+pmodel,0.3,142,6.664888473734051,4.6935834322070775,54.929577464788736,52.04522417167632,2.8843532931124187
2026-06-20,655,473,K_PROFIT+price+pmodel,0.5,236,-3.7646711373473005,-1.5951996344691952,51.271186440677965,51.95272361544576,-0.6815371747677972
2026-06-30,792,336,A_shipped_p,0.05,17,-1.2387362637362638,-7.286683904330964,52.94117647058824,58.16787086006282,-5.226694389474581
2026-06-30,792,336,A_shipped_p,0.1,34,-1.8603184449958643,-5.4715248382231305,52.94117647058824,56.48365645278527,-3.5424799821970296
