rid,date,away,home,gn,y_nrfi,nrfi_odds,yrfi_odds,pay_n,pay_y,imp_n,imp_y,vig,dev_n,dev_y,p_raw,p_live,lam,park
1064,2026-06-19,CWS,DET,1,0,-140.0,110.0,0.7142857142857143,1.1,0.5833333333333334,0.47619047619047616,1.0595238095238095,0.550561797752809,0.449438202247191,0.5062405559653887,0.4902,0.6795,0.98
1065,2026-06-19,CLE,HOU,1,0,-110.0,-115.0,0.9090909090909091,0.8695652173913043,0.5238095238095238,0.5348837209302325,1.0586932447397563,0.4947698744769875,0.5052301255230125,0.5031953803254561,0.4795,0.6863,0.99
1066,2026-06-19,BOS,SEA,1,1,-155.0,120.0,0.6451612903225806,1.2,0.6078431372549019,0.45454545454545453,1.0623885918003564,0.5721476510067114,0.4278523489932886,0.5566049507349323,0.5514,0.5858,0.95
1067,2026-06-19,SD,TEX,1,0,-130.0,100.0,0.7692307692307693,1.0,0.5652173913043478,0.5,1.0652173913043477,0.5306122448979592,0.4693877551020409,0.5585275488791828,0.5514,0.5824,1.07
1068,2026-06-19,MIL,ATL,1,1,-155.0,120.0,0.6451612903225806,1.2,0.6078431372549019,0.45454545454545453,1.0623885918003564,0.5721476510067114,0.4278523489932886,0.5312378260076979,0.5479,0.6329,0.98
1069,2026-06-19,STL,KC,1,0,100.0,-130.0,1.0,0.7692307692307693,0.5,0.5652173913043478,1.0652173913043477,0.4693877551020409,0.5306122448979592,0.5310996482512793,0.5479,0.6335,0.96
1070,2026-06-19,SF,MIA,1,0,-135.0,105.0,0.7407407407407407,1.05,0.574468085106383,0.4878048780487805,1.0622729631551635,0.5407914020517831,0.4592085979482169,0.49347072103092665,0.4787,0.7064,0.95
1071,2026-06-20,PIT,COL,1,0,105.0,-135.0,1.05,0.7407407407407407,0.4878048780487805,0.574468085106383,1.0622729631551635,0.4592085979482169,0.5407914020517831,0.3235161972623117,0.3219,1.1287,1.22
1072,2026-06-20,CIN,NYY,1,0,105.0,-135.0,1.05,0.7407407407407407,0.4878048780487805,0.574468085106383,1.0622729631551635,0.4592085979482169,0.5407914020517831,0.3431166022294303,0.3224,1.07,1.02
1073,2026-06-20,MIN,ARI,1,0,110.0,-140.0,1.1,0.7142857142857143,0.47619047619047616,0.5833333333333334,1.0595238095238095,0.449438202247191,0.550561797752809,0.3766777191979218,0.3817,0.9773,1.0
1074,2026-06-20,WSH,TB,1,0,-125.0,-105.0,0.8,0.9523809523809523,0.5555555555555556,0.5121951219512195,1.067750677506775,0.5203045685279188,0.4796954314720812,0.3967598942272237,0.4064,0.9245,0.93
1075,2026-06-20,SF,MIA,1,0,-135.0,105.0,0.7407407407407407,1.05,0.574468085106383,0.4878048780487805,1.0622729631551635,0.5407914020517831,0.4592085979482169,0.4798954451800731,0.4772,0.7339,0.95
1076,2026-06-20,MIL,ATL,1,1,-175.0,135.0,0.5714285714285714,1.35,0.6363636363636364,0.425531914893617,1.0618955512572534,0.599271402550091,0.4007285974499089,0.5693010631581318,0.5568,0.5642,0.98
1077,2026-06-20,SD,TEX,1,1,-125.0,-105.0,0.8,0.9523809523809523,0.5555555555555556,0.5121951219512195,1.067750677506775,0.5203045685279188,0.4796954314720812,0.5482213150369469,0.5506,0.6006,1.07
1078,2026-06-20,CLE,HOU,1,0,-105.0,-120.0,0.9523809523809523,0.8333333333333334,0.5121951219512195,0.5454545454545454,1.057649667405765,0.48427672955974843,0.5157232704402516,0.4890089961837046,0.4777,0.7145,0.99
1079,2026-06-20,BAL,LAD,1,1,-120.0,-105.0,0.8333333333333334,0.9523809523809523,0.5454545454545454,0.5121951219512195,1.057649667405765,0.5157232704402516,0.48427672955974843,0.46369319516348223,0.4696,0.7687,0.97
1080,2026-06-20,BOS,SEA,1,0,-130.0,100.0,0.7692307692307693,1.0,0.5652173913043478,0.5,1.0652173913043477,0.5306122448979592,0.4693877551020409,0.5283361151467975,0.5479,0.6386,0.95
1081,2026-06-20,TOR,CHC,1,1,-105.0,-125.0,0.9523809523809523,0.8,0.5121951219512195,0.5555555555555556,1.067750677506775,0.4796954314720812,0.5203045685279188,0.5389978791568065,0.5479,0.6174,1.0
