season,date,game_pk,away,home,event_id,commence_time,snapshot_ts,book,over_price,under_price,n_books_0_5,cons_over_devig,fanduel_over_devig,nrfi_prob,fi_total_runs
2024,2024-04-23,746566,SD,COL,a15c940b75fa8a25d1c96f7bfae8da81,2024-04-24T00:40:00Z,2024-04-23T23:35:39Z,superbook,-125,-105,1,0.520305,,0.421,2
2024,2024-04-23,747130,MIA,ATL,5d932c935739a56890ad05cdafada8bc,2024-04-23T23:20:00Z,2024-04-23T22:15:39Z,superbook,-115,-115,1,0.500000,,0.4426,0
2024,2024-04-24,745346,NYM,SF,2ab9f108c2b67ed41bce283b9cca4bb4,2024-04-24T19:45:00Z,2024-04-24T18:40:39Z,betrivers,116,-143,2,0.440313,,0.438,0
2024,2024-04-24,746567,SD,COL,24dcc7c4957937205f8f8882e58c14ba,2024-04-25T00:40:00Z,2024-04-24T23:35:39Z,betrivers,-143,115,3,0.560135,,0.4139,4
2024,2024-04-25,746646,BOS,CLE,f66aa4a068c28db4821d58247df4de1a,2024-04-25T17:10:00Z,2024-04-25T16:05:39Z,betrivers,105,-129,3,0.465849,,0.4153,0
2024,2024-04-26,745424,PHI,SD,b1517294dc1f8022c490fed05792b95b,2024-04-27T01:40:00Z,2024-04-27T00:35:40Z,betrivers,100,-122,3,0.487637,,0.4427,2
2024,2024-04-26,745835,STL,NYM,05c75bc4adc2f4c767753deb5d813daf,2024-04-26T23:10:00Z,2024-04-26T22:05:39Z,betrivers,106,-132,2,0.460391,,0.428,0
2024,2024-04-26,747129,CLE,ATL,bdda801761be8a55f158594b2a4f0155,2024-04-26T23:20:00Z,2024-04-26T22:15:39Z,betrivers,-113,-112,3,0.500697,,0.4345,1
2024,2024-04-27,746484,KC,DET,27bca0fd164013a5de6c6372f7533c84,2024-04-27T22:10:00Z,2024-04-27T21:05:39Z,betrivers,-105,-118,3,0.484028,,0.4431,2
2024,2024-04-27,746803,TB,CWS,a397f025d6903a825db9be4dfd327d15,2024-04-27T23:10:00Z,2024-04-27T22:05:39Z,superbook,-115,-115,1,0.500000,,0.4204,0
