season,date,game_pk,away,home,event_id,commence_time,snapshot_ts,book,over_price,under_price,n_books_0_5,cons_over_devig,fanduel_over_devig,nrfi_prob,fi_total_runs
2024,2024-05-21,746145,ARI,LAD,2fc9bb1e4fd67f6146ece3c891db2548,2024-05-22T02:10:00Z,2024-05-22T01:05:38Z,superbook,-110,-120,1,0.489879,,0.409706,0
2024,2024-05-22,746876,ATL,CHC,0580e38ab2bfe35b7c92e23b6c0b6470,2024-05-22T23:40:00Z,2024-05-22T22:35:38Z,superbook,-115,-115,1,0.500000,,0.405965,0
2024,2024-05-23,745660,COL,OAK,82f89d46dbebd3c023f5b3d09c621465,2024-05-23T19:37:00Z,2024-05-23T18:35:38Z,betrivers,106,-132,2,0.460391,,0.339235,2
2024,2024-05-24,745663,HOU,OAK,a89f93293b54c2d5c425be6c98f7d986,2024-05-25T01:40:00Z,2024-05-25T00:35:38Z,betrivers,-105,-120,3,0.482750,,0.327112,1
2024,2024-05-24,746558,PHI,COL,ba4d2593435bfd785b11d5e82998b33c,2024-05-25T00:40:00Z,2024-05-24T23:35:38Z,betrivers,-155,125,3,0.568614,,0.348697,0
2024,2024-05-24,747200,MIA,ARI,5841d678836fa5cf18a2ec4767558194,2024-05-25T01:40:00Z,2024-05-25T00:35:38Z,betrivers,-105,-120,3,0.482750,,0.399003,0
2024,2024-05-25,745658,HOU,OAK,b3283fe7be18b36067cc25b9dceaa901,2024-05-25T20:07:00Z,2024-05-25T19:05:38Z,betrivers,-107,-117,3,0.499741,,0.351566,2
2024,2024-05-25,746556,PHI,COL,7a7f4f2ce15ed061f8d5d2bd7395d79a,2024-05-26T01:10:00Z,2024-05-26T00:05:38Z,betrivers,-137,110,3,0.549063,,0.322034,2
2024,2024-05-25,747199,MIA,ARI,b6b4d55854da34b5df55c319e113eb37,2024-05-26T02:10:00Z,2024-05-26T01:05:38Z,superbook,-130,100,1,0.530612,,0.322034,3
2024,2024-05-26,746557,PHI,COL,516bacf74df0fd5ef87c04bd86c05543,2024-05-26T19:10:00Z,2024-05-26T18:05:38Z,betrivers,-124,100,3,0.520323,,0.347831,2
2024,2024-05-27,745338,PHI,SF,9a03c82d1c77d3b9c15a2df4786d8822,2024-05-27T21:05:00Z,2024-05-27T20:00:38Z,superbook,-105,-125,1,0.479695,,0.375012,0
2024,2024-05-27,746549,CLE,COL,5c8290fa7a969f458b4dfb1b56201c03,2024-05-27T20:10:00Z,2024-05-27T19:05:38Z,superbook,-160,120,1,0.575163,,0.365016,1
2024,2024-05-27,746788,TOR,CWS,4ced44c7f62df26572f02cba1b827a6f,2024-05-27T18:10:00Z,2024-05-27T17:05:38Z,superbook,-120,-110,1,0.510121,,0.356592,0
2024,2024-05-28,745816,LAD,NYM,bee13ba28d8458d9c80cafd1f89524db,2024-05-28T20:10:00Z,2024-05-28T19:05:38Z,betrivers,-104,-121,3,0.481344,,0.381319,1
2024,2024-05-28,746229,NYY,LAA,f4dfdd4e4d64e65f9f740cb8f3ac5533,2024-05-29T01:38:00Z,2024-05-29T00:35:38Z,superbook,-120,-110,1,0.510121,,0.379241,3
2024,2024-05-28,746552,CLE,COL,d308af40faff49a0715ac218024068bc,2024-05-29T00:40:00Z,2024-05-28T23:35:38Z,superbook,-140,110,1,0.550562,,0.322034,2
2024,2024-05-28,747115,WSH,ATL,d0512632a7cdce6e586825337123b44e,2024-05-28T23:20:00Z,2024-05-28T22:15:38Z,superbook,-115,-115,1,0.500000,,0.396386,0
2024,2024-05-29,745333,PHI,SF,d64abe00e8f46fe80dd426640ee374bd,2024-05-29T19:45:00Z,2024-05-29T18:40:38Z,superbook,-115,-115,1,0.500000,,0.399497,1
2024,2024-05-29,746706,STL,CIN,fa5e725f217c140bcd71eb9b5038dc5d,2024-05-29T17:10:00Z,2024-05-29T16:05:38Z,superbook,-125,-105,1,0.520305,,0.399294,0
