season,date,game_pk,away,home,p_nrfi,fi_total_runs
2024,2024-07-02,746133,ARI,LAD,0.322034,1
2024,2024-07-02,746537,MIL,COL,0.322034,0
2024,2024-07-03,745728,CIN,NYY,0.381981,0
2024,2024-07-03,746128,ARI,LAD,0.384495,5
2024,2024-07-03,746534,MIL,COL,0.322034,1
2024,2024-07-04,745641,LAA,OAK,0.379492,0
2024,2024-07-04,746126,ARI,LAD,0.38256,2
2024,2024-07-04,746532,MIL,COL,0.324902,1
2024,2024-07-05,745639,BAL,OAK,0.38122,2
2024,2024-07-05,746859,LAA,CHC,0.407515,2
2024,2024-07-06,745642,BAL,OAK,0.385802,3
2024,2024-07-06,746129,MIL,LAD,0.384923,4
2024,2024-07-06,746529,KC,COL,0.387759,0
2024,2024-07-08,747181,ATL,ARI,0.381991,1
2024,2024-07-09,745074,NYY,TB,0.359535,5
2024,2024-07-09,746206,TEX,LAA,0.391796,1
2024,2024-07-10,746205,TEX,LAA,0.386521,0
2024,2024-07-10,746689,COL,CIN,0.349639,0
2024,2024-07-10,747179,ATL,ARI,0.407477,0
2024,2024-07-11,745558,LAD,PHI,0.350713,1
2024,2024-07-11,746935,OAK,BOS,0.380192,3
2024,2024-07-14,746449,LAD,DET,0.392475,3
2024,2024-07-14,747176,TOR,ARI,0.410819,0
2024,2024-07-19,745640,LAA,OAK,0.324426,0
2024,2024-07-19,745721,TB,NYY,0.403484,0
2024,2024-07-19,746531,SF,COL,0.322034,0
2024,2024-07-20,745638,LAA,OAK,0.322034,3
2024,2024-07-20,746121,BOS,LAD,0.322034,0
2024,2024-07-20,746527,SF,COL,0.322034,2
2024,2024-07-21,746125,BOS,LAD,0.35543,4
2024,2024-07-22,745635,HOU,OAK,0.336158,0
2024,2024-07-22,746526,BOS,COL,0.406558,0
2024,2024-07-23,745632,HOU,OAK,0.387048,2
2024,2024-07-23,746118,SF,LAD,0.322034,2
2024,2024-07-23,746524,BOS,COL,0.322034,3
2024,2024-07-24,745472,STL,PIT,0.399883,0
2024,2024-07-24,745634,HOU,OAK,0.408823,2
2024,2024-07-24,746035,BAL,MIA,0.409514,0
2024,2024-07-24,746525,BOS,COL,0.35948,3
2024,2024-07-25,746117,SF,LAD,0.322034,0
2024,2024-07-25,746199,OAK,LAA,0.322034,2
2024,2024-07-26,745315,COL,SF,0.322034,1
2024,2024-07-27,745059,CIN,TB,0.409667,0
2024,2024-07-27,746203,OAK,LAA,0.387767,3
2024,2024-07-27,746931,NYY,BOS,0.34907,6
2024,2024-07-27,747171,PIT,ARI,0.386112,2
2024,2024-07-28,745305,COL,SF,0.342953,1
2024,2024-07-28,745550,CLE,PHI,0.357606,1
2024,2024-07-29,747172,WSH,ARI,0.379345,5
2024,2024-07-30,745309,OAK,SF,0.382446,0
2024,2024-07-30,746197,COL,LAA,0.374643,4
2024,2024-07-30,746441,CLE,DET,0.394888,0
2024,2024-07-31,745061,MIA,TB,0.373048,1
2024,2024-07-31,745543,NYY,PHI,0.371974,0
2024,2024-07-31,746198,COL,LAA,0.386288,1
2024,2024-08-01,746196,COL,LAA,0.357063,0
2024,2024-08-02,745387,COL,SD,0.366008,0
2024,2024-08-03,746194,NYM,LAA,0.397487,1
2024,2024-08-03,746440,KC,DET,0.366679,0
2024,2024-08-04,746191,NYM,LAA,0.322034,0
2024,2024-08-05,745628,CWS,OAK,0.405265,1
2024,2024-08-06,746120,PHI,LAD,0.322034,0
2024,2024-08-06,746519,NYM,COL,0.39424,0
2024,2024-08-07,745630,CWS,OAK,0.384877,0
2024,2024-08-07,746115,PHI,LAD,0.330531,3
2024,2024-08-07,746521,NYM,COL,0.322034,2
2024,2024-08-08,746522,NYM,COL,0.361024,4
2024,2024-08-08,747169,PHI,ARI,0.364842,0
2024,2024-08-09,746113,PIT,LAD,0.398092,1
2024,2024-08-09,746523,ATL,COL,0.412752,1
2024,2024-08-10,746520,ATL,COL,0.322034,0
2024,2024-08-10,746761,CHC,CWS,0.387428,0
2024,2024-08-10,746922,HOU,BOS,0.392526,1
2024,2024-08-11,744816,LAA,WSH,0.348444,0
2024,2024-08-11,745057,BAL,TB,0.365822,0
2024,2024-08-11,745711,TEX,NYY,0.394248,1
2024,2024-08-11,746114,PIT,LAD,0.38915,2
2024,2024-08-11,746517,ATL,COL,0.374378,1
2024,2024-08-12,745383,PIT,SD,0.395468,0
2024,2024-08-12,746192,TOR,LAA,0.322034,0
2024,2024-08-12,747165,COL,ARI,0.379627,0
2024,2024-08-13,746187,TOR,LAA,0.352884,3
2024,2024-08-13,746757,NYY,CWS,0.392941,0
2024,2024-08-13,747160,COL,ARI,0.322034,0
2024,2024-08-14,746188,TOR,LAA,0.389559,0
2024,2024-08-14,746598,CHC,CLE,0.375923,0
2024,2024-08-14,746677,STL,CIN,0.322034,0
2024,2024-08-14,746759,NYY,CWS,0.405193,1
2024,2024-08-14,747163,COL,ARI,0.345668,4
2024,2024-08-15,745298,ATL,SF,0.336015,0
2024,2024-08-16,745542,WSH,PHI,0.405193,0
2024,2024-08-16,745784,MIA,NYM,0.407285,1
2024,2024-08-16,746518,SD,COL,0.322034,4
2024,2024-08-17,745140,LAD,STL,0.376878,2
2024,2024-08-17,746190,ATL,LAA,0.391985,3
2024,2024-08-17,746515,SD,COL,0.403233,0
2024,2024-08-18,746186,ATL,LAA,0.355358,1
2024,2024-08-18,746516,SD,COL,0.349636,0
2024,2024-08-19,745294,CWS,SF,0.396258,0
2024,2024-08-19,746109,SEA,LAD,0.358347,0
2024,2024-08-20,744814,COL,WSH,0.406883,1
2024,2024-08-20,745295,CWS,SF,0.359694,0
2024,2024-08-20,745624,TB,OAK,0.322034,0
2024,2024-08-20,745782,BAL,NYM,0.388833,2
2024,2024-08-20,746107,SEA,LAD,0.322034,2
2024,2024-08-21,744812,COL,WSH,0.350192,0
2024,2024-08-21,745622,TB,OAK,0.397127,1
2024,2024-08-23,745702,COL,NYY,0.394224,0
2024,2024-08-23,746111,TB,LAD,0.322034,1
2024,2024-08-23,746758,DET,CWS,0.348856,1
2024,2024-08-24,746108,TB,LAD,0.330005,4
2024,2024-08-25,745376,NYM,SD,0.39679,0
2024,2024-08-25,745618,MIL,OAK,0.356567,0
2024,2024-08-25,745706,COL,NYY,0.322034,3
2024,2024-08-25,746106,TB,LAD,0.369464,0
2024,2024-08-25,746754,DET,CWS,0.391439,2
2024,2024-08-26,746513,MIA,COL,0.369097,0
2024,2024-08-26,746753,DET,CWS,0.406979,1
2024,2024-08-27,746105,BAL,LAD,0.328859,0
2024,2024-08-27,746510,MIA,COL,0.322034,4
2024,2024-08-27,746671,OAK,CIN,0.408243,0
2024,2024-08-28,746103,BAL,LAD,0.339914,1
2024,2024-08-28,746512,MIA,COL,0.322034,0
2024,2024-08-29,746102,BAL,LAD,0.322034,0
2024,2024-08-29,746514,MIA,COL,0.322034,0
2024,2024-08-30,745299,MIA,SF,0.322034,0
2024,2024-08-30,746511,BAL,COL,0.322892,0
