date,severity,metric,note
2026-05-20,MEDIUM,home_whiff_pct_rank_extreme,"home_whiff_pct_rank has 3/15 extreme values (outside [5.0, 95.0]); max=76.00"
2026-05-20,HIGH,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 5 (>=4 = HIGH; >=3 = MEDIUM)
2026-05-21,MEDIUM,away_whiff_pct_rank_extreme,"away_whiff_pct_rank has 2/7 extreme values (outside [5.0, 95.0]); max=97.00"
2026-05-21,HIGH,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 4 (>=4 = HIGH; >=3 = MEDIUM)
2026-05-21,MEDIUM,away_whiff_pct_rank_extreme,"away_whiff_pct_rank has 2/7 extreme values (outside [5.0, 95.0]); max=97.00"
2026-05-21,HIGH,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 4 (>=4 = HIGH; >=3 = MEDIUM)
2026-05-22,MEDIUM,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 3 (>=4 = HIGH; >=3 = MEDIUM)
2026-05-22,MEDIUM,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 3 (>=4 = HIGH; >=3 = MEDIUM)
2026-05-23,HIGH,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 4 (>=4 = HIGH; >=3 = MEDIUM)
2026-05-23,HIGH,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 4 (>=4 = HIGH; >=3 = MEDIUM)
2026-05-24,HIGH,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 5 (>=4 = HIGH; >=3 = MEDIUM)
2026-05-24,HIGH,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 5 (>=4 = HIGH; >=3 = MEDIUM)
2026-05-25,MEDIUM,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 3 (>=4 = HIGH; >=3 = MEDIUM)
2026-05-25,MEDIUM,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 3 (>=4 = HIGH; >=3 = MEDIUM)
2026-05-26,MEDIUM,away_whiff_pct_rank_extreme,"away_whiff_pct_rank has 4/15 extreme values (outside [5.0, 95.0]); max=100.00"
2026-05-26,HIGH,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 6 (>=4 = HIGH; >=3 = MEDIUM)
2026-05-26,MEDIUM,away_whiff_pct_rank_extreme,"away_whiff_pct_rank has 4/15 extreme values (outside [5.0, 95.0]); max=100.00"
2026-05-26,HIGH,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 6 (>=4 = HIGH; >=3 = MEDIUM)
2026-05-27,HIGH,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 6 (>=4 = HIGH; >=3 = MEDIUM)
2026-05-27,HIGH,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 6 (>=4 = HIGH; >=3 = MEDIUM)
2026-05-28,MEDIUM,away_pitcher_q=live,away_pitcher_q=live: today=50.0% baseline=71.1% shift=-21.1%
2026-05-28,MEDIUM,away_pitcher_q=sm,away_pitcher_q=sm: today=33.3% baseline=8.2% shift=+25.1%
