date,game_pk,away_fi_xwoba,home_fi_xwoba,away_fi_k,home_fi_k,away_fi_bb,home_fi_bb,away_fi_csw,home_fi_csw,away_fi_pa,home_fi_pa,away_fi_velo,home_fi_velo
2024-04-12,745112,0.3136,,0.2456,,0.0963,,0.3109,,12,,0.366,
2024-04-12,745274,0.3079,0.2929,0.2562,0.2788,0.1149,0.0885,0.2851,0.3200,9,7,0.251,0.213
2024-04-12,745596,0.3493,0.3432,0.2349,0.2159,0.1117,0.0872,0.2915,0.2813,11,8,0.100,-0.126
2024-04-12,745679,0.3022,0.3304,0.2679,0.2191,0.0899,0.0885,0.3004,0.2813,6,7,0.790,0.304
2024-04-12,745838,0.2970,0.3148,0.2490,0.2526,0.1034,0.0847,0.2908,0.2927,7,10,0.204,0.026
2024-04-12,746084,0.3758,0.3152,0.2010,0.2224,0.1273,0.0899,0.2847,0.2924,18,6,0.270,-0.404
2024-04-12,746162,0.3254,0.3161,0.2306,0.2908,0.1019,0.1145,0.2977,0.3089,8,18,0.262,-0.070
2024-04-12,746408,0.3138,0.3038,0.2340,0.2453,0.1034,0.0872,0.2885,0.2879,7,8,0.321,0.633
2024-04-12,746491,0.2984,0.3004,0.2490,0.2453,0.0885,0.0872,0.3027,0.2901,7,8,0.180,0.109
2024-04-12,746656,0.2930,0.3125,0.2490,0.2526,0.0885,0.0990,0.3065,0.2882,7,10,0.285,0.292
2024-04-12,746812,0.3078,0.3143,0.2349,0.2340,0.0976,0.0885,0.2825,0.2777,11,7,0.382,0.135
2024-04-12,746978,0.3026,0.3036,0.2788,0.2417,0.0885,0.1004,0.3164,0.2947,7,9,0.365,0.041
2024-04-12,747055,0.2951,0.3300,0.2639,0.2306,0.1034,0.0872,0.2774,0.2816,7,8,-0.027,0.123
2024-04-12,747217,0.3102,0.2950,0.2340,0.2679,0.1034,0.0899,0.2965,0.3055,7,6,0.167,0.211
2024-04-13,744953,0.3152,,0.2156,,0.1001,,0.2798,,8,,0.095,
2024-04-13,745110,0.3166,0.3219,0.2693,0.2380,0.0796,0.1116,0.3016,0.2932,13,10,0.302,0.168
2024-04-13,745272,0.3054,0.3139,0.2486,0.2523,0.0867,0.0830,0.2936,0.3021,7,10,0.387,0.313
2024-04-13,745594,0.3140,0.2989,0.2337,0.2486,0.0867,0.0867,0.2910,0.2781,7,7,0.376,0.103
2024-04-13,745676,0.3058,0.3076,0.2559,0.2380,0.0987,0.0973,0.2917,0.2816,9,10,0.231,0.441
2024-04-13,745839,0.2993,0.3141,0.2744,0.2486,0.0854,0.0867,0.3068,0.2859,8,7,0.214,0.383
2024-04-13,746082,0.3275,0.2938,0.2486,0.2827,0.0867,0.0880,0.2853,0.3118,7,6,-0.017,0.158
2024-04-13,746161,0.3264,0.3073,0.2453,0.2808,0.0807,0.0973,0.3013,0.3077,12,10,0.340,0.298
2024-04-13,746405,0.3075,0.3013,0.2523,0.2486,0.1116,0.1016,0.2911,0.2870,10,7,0.367,0.107
2024-04-13,746489,0.2921,0.3512,0.2676,0.2237,0.0880,0.0973,0.2904,0.2828,6,10,0.474,
2024-04-13,746658,,0.3063,,0.2337,,0.0867,,0.2843,,7,,0.068
2024-04-13,746811,,0.2900,,0.2704,,0.0842,,0.2998,,9,,0.552
2024-04-13,746979,0.3388,,0.2237,,0.0973,,0.2908,,10,,0.335,
2024-04-13,747054,0.3243,0.3110,0.2237,0.2269,0.1116,0.0842,0.3010,0.2983,10,9,0.180,0.538
2024-04-13,747215,0.3659,0.3097,0.2175,0.2269,0.0946,0.1132,0.2838,0.2728,12,9,0.326,0.707
2024-04-14,744952,0.3571,0.3378,0.2227,0.2493,0.1069,0.0989,0.2816,0.3105,15,11,0.435,0.241
2024-04-14,745113,0.3082,0.3200,0.2610,0.2379,0.0940,0.1063,0.3015,0.2897,4,6,,0.263
2024-04-14,745271,0.3069,0.2913,0.2642,0.2529,0.1048,0.0860,0.2906,0.2852,7,10,0.416,0.305
2024-04-14,745595,0.3143,0.3147,0.2634,0.2352,0.1129,0.0989,0.3033,0.2961,11,11,0.308,0.612
2024-04-14,745681,0.3240,0.3243,0.2421,0.2459,0.1017,0.0975,0.2939,0.2915,9,12,0.323,0.216
2024-04-14,745841,0.3183,0.3162,0.2257,0.2416,0.0948,0.1080,0.2943,0.2858,14,5,0.473,0.231
2024-04-14,746079,0.3262,0.3159,0.2566,0.2352,0.1162,0.1129,0.2984,0.2832,9,11,0.315,0.384
2024-04-14,746164,0.2977,0.3051,0.2527,0.2276,0.0948,0.1017,0.2836,0.2968,14,9,0.366,-0.216
2024-04-14,746404,0.3122,0.2922,0.2421,0.2672,0.0872,0.0860,0.2968,0.3208,9,10,0.286,0.086
2024-04-14,746492,0.3627,0.3106,0.2151,0.2529,0.1098,0.0860,0.2755,0.2973,13,10,0.245,0.210
2024-04-14,746648,0.3445,0.3177,0.2013,0.2299,0.1028,0.1041,0.2929,0.3046,18,17,0.764,0.161
2024-04-14,746810,0.3227,0.3294,0.2493,0.2094,0.0898,0.1069,0.2957,0.2757,7,15,0.504,0.260
2024-04-14,746975,0.3015,0.3075,0.2531,0.2386,0.0912,0.0860,0.2995,0.2948,6,10,0.492,0.095
2024-04-14,747056,0.3322,0.3235,0.2276,0.2494,0.0872,0.0803,0.2896,0.2957,9,15,0.264,0.159
2024-04-14,747216,0.3541,0.3075,0.2094,0.2320,0.1336,0.1114,0.2838,0.3010,15,12,0.244,0.514
2024-04-15,744951,0.3019,0.2999,0.2610,0.2706,0.1174,0.0956,0.2895,0.2991,8,13,0.247,0.318
2024-04-15,745106,0.3161,0.2992,0.2633,0.2465,0.1198,0.0831,0.3039,0.2885,15,12,0.183,0.324
2024-04-15,745268,0.2965,0.3194,0.2250,0.2204,0.0855,0.1182,0.2831,0.2942,10,16,0.018,0.440
2024-04-15,745597,0.3522,0.3017,0.2367,0.2465,0.0798,0.0970,0.2843,0.2904,15,12,0.258,0.191
2024-04-15,745677,0.3088,0.3386,0.2500,0.2175,0.0950,0.0907,0.2776,0.2652,3,17,,0.170
2024-04-15,745840,0.3032,0.3517,0.2359,0.2169,0.0843,0.1174,0.3017,0.2782,11,8,0.200,0.317
2024-04-15,746002,0.3787,0.3069,0.2259,0.2316,0.1323,0.0880,0.3001,0.2869,23,8,0.300,0.320
2024-04-15,746080,0.2983,,0.2782,,0.0843,,0.3034,,11,,0.083,
2024-04-15,746158,,0.2826,,0.2432,,0.0820,,0.2898,,13,,0.167
2024-04-15,746406,,0.3092,,0.2617,,0.1091,,0.2858,,4,,
2024-04-15,746488,,0.3082,,0.2500,,0.1191,,0.2940,,7,,0.279
2024-04-15,746813,0.3113,,0.2250,,0.0997,,0.2983,,10,,0.373,
2024-04-15,746974,,0.2877,,0.2641,,0.0843,,0.2884,,11,,0.034
2024-04-15,747053,0.3172,0.3127,0.2500,0.2428,0.1191,0.1012,0.2924,0.3010,7,9,0.232,-0.050
2024-04-15,747213,0.3189,0.3186,0.2500,0.2743,0.0950,0.0831,0.2835,0.3060,3,12,0.226,0.495
2024-04-16,744944,0.3106,0.3089,0.2554,0.2589,0.0958,0.1110,0.2926,0.2884,13,12,0.235,0.154
2024-04-16,745108,0.3083,0.3180,0.2370,0.2691,0.0908,0.0821,0.2904,0.3047,6,13,-0.111,0.857
2024-04-16,745270,0.3155,0.3090,0.2654,0.2412,0.1215,0.0869,0.3017,0.2841,14,9,0.104,0.541
2024-04-16,745593,0.3567,0.3090,0.2580,0.2417,0.1374,0.1095,0.2836,0.2923,20,13,0.292,0.071
2024-04-16,745674,0.3262,0.3233,0.2716,0.2377,0.1052,0.0999,0.2902,0.2885,16,10,0.537,0.326
2024-04-16,745837,0.3205,0.3512,0.2663,0.2311,0.0856,0.1110,0.3027,0.2706,10,12,0.680,0.256
2024-04-16,746004,0.2966,0.3210,0.2766,0.2324,0.0985,0.1110,0.2954,0.2912,11,3,-0.005,
2024-04-16,746081,0.3145,0.3039,0.2234,0.2344,0.0856,0.0985,0.2847,0.2853,10,11,-0.068,0.137
2024-04-16,746157,0.2971,,0.2344,,0.0844,,0.2858,,11,,0.045,
2024-04-16,746400,0.2927,0.3654,0.2673,0.2100,0.0908,0.1190,0.3036,0.2835,6,24,0.239,0.246
2024-04-16,746486,0.3324,0.3166,0.2789,0.2267,0.0945,0.1014,0.3125,0.2813,14,9,0.262,-0.012
2024-04-16,746809,0.2904,0.3162,0.2377,0.2554,0.0999,0.0821,0.2896,0.3015,10,13,0.241,0.184
2024-04-16,746976,0.3419,0.3003,0.2654,0.2663,0.1080,0.0999,0.2976,0.2817,14,10,0.602,0.590
2024-04-16,747051,0.3263,0.3377,0.2203,0.2190,0.1126,0.1052,0.2842,0.2761,11,16,0.155,0.281
2024-04-16,747214,0.3118,0.3233,0.2485,0.2584,0.0933,0.1183,0.2917,0.2970,15,16,0.378,0.058
2024-04-17,744948,0.3133,0.3557,0.2504,0.2435,0.0972,0.0945,0.2841,0.3040,11,13,0.124,-0.111
2024-04-17,745105,0.3138,0.3157,0.2682,0.2672,0.0843,0.1203,0.3075,0.2881,10,14,0.354,0.472
2024-04-17,745267,0.3019,0.2885,0.2402,0.2785,0.0932,0.0972,0.2857,0.3148,14,11,0.431,0.300
2024-04-17,745591,0.3315,0.3306,0.2279,0.2363,0.1141,0.0831,0.2947,0.2931,18,11,0.180,-0.089
2024-04-17,745671,0.3120,0.3182,0.2363,0.2397,0.0972,0.0843,0.2918,0.2867,11,10,0.134,0.387
2024-04-17,745836,0.3489,0.3277,0.2237,0.2435,0.1053,0.0808,0.2842,0.2909,15,13,0.102,-0.033
2024-04-17,746005,0.3344,,0.2330,,0.0958,,0.3015,,12,,0.491,
2024-04-17,746076,0.3146,0.3081,0.2471,0.2363,0.1039,0.0831,0.3100,0.2922,16,11,0.356,-0.242
2024-04-17,746159,0.2953,,0.2721,,0.0855,,0.2955,,9,,0.806,
2024-04-17,746401,0.3674,0.3257,0.2021,0.2267,0.1313,0.0932,0.2857,0.2759,23,14,0.247,0.882
2024-04-17,746487,0.3367,0.2949,0.2222,0.2504,0.0972,0.0831,0.2792,0.2889,11,11,0.237,0.309
2024-04-17,746807,0.3054,,0.2397,,0.1129,,0.2804,,10,,0.258,
2024-04-17,746973,,0.3170,,0.2207,,0.1039,,0.2912,,16,,0.044
2024-04-17,747049,0.3081,,0.2608,,0.0819,,0.3062,,12,,0.215,
2024-04-17,747212,0.3149,0.3122,0.2608,0.2435,0.1097,0.1082,0.2761,0.2958,12,13,0.294,0.299
2024-04-18,745104,0.3590,0.3264,0.2139,0.2358,0.0884,0.1053,0.2927,0.2915,18,15,0.308,0.133
2024-04-18,745356,0.3270,0.3093,0.2285,0.2721,0.1082,0.0776,0.2712,0.3000,13,16,0.807,0.324
2024-04-18,746485,,0.3386,,0.2285,,0.0945,,0.2793,,13,,0.074
2024-04-18,746891,,0.2997,,0.2526,,0.0843,,0.2852,,10,,0.328
