game_pk,home_K20_all,home_K40_all,home_K65_all,home_K100_all,home_K65_pw0,home_K65_pw6,home_K65_hl15,home_K65_hl30,home_K65_win20,home_shipped_like,away_K20_all,away_K40_all,away_K65_all,away_K100_all,away_K65_pw0,away_K65_pw6,away_K65_hl15,away_K65_hl30,away_K65_win20,away_shipped_like
776621,0.7858317045785337,0.768313300914457,0.756210626414921,0.7467641141064334,0.7667559232674841,0.7475026226618969,0.7490279264395456,0.7535644019409926,0.762056341380483,0.9,0.7452791716953566,0.7383979296130423,0.7336826206560346,0.730023877212722,0.7419421001926784,0.7268753573016579,0.7384637210408856,0.7376232711903046,0.7385269296157769,0.9
776622,0.7196121387283237,0.7196121387283237,0.7196121387283237,0.7196121387283237,0.7196121387283237,0.7196121387283237,0.7196121387283237,0.7196121387283237,0.7196121387283237,0.7196121387283237,0.8180251065568985,0.7897048280450784,0.7711617885432914,0.7572294507554624,0.7790205634177132,0.7644587158562847,0.7600769749689349,0.7662749380531062,0.7738210472628358,0.9
776623,0.7381365134244503,0.7322370310371489,0.7286422439332693,0.7260685168797425,0.7299394071783842,0.7273971988542527,0.726277113400705,0.7274775543513953,0.726762223733424,0.8,0.7329002623114265,0.7290318129422554,0.72651855941666,0.724640356432264,0.7360771479243301,0.7180562275386423,0.7248574204378272,0.7259580811840196,0.7385269296157769,0.7
776624,0.650190122969945,0.6719571523349477,0.6854549043068068,0.6952301869496608,0.6838502669139284,0.6869451722958732,0.6963003209040799,0.6908734768119098,0.6801308582893864,0.6,0.8439411550902879,0.8088788228772965,0.7856812024539525,0.768124902280573,0.7731586848831218,0.7965863302798223,0.7597240317404775,0.7702697875069328,0.7624837994658569,0.9
776625,0.6585277998915464,0.6759555713143074,0.6874320611707786,0.6960892688150068,0.6863865446371227,0.6883711478776551,0.6955186766945471,0.6915828924564202,0.6914681060863652,0.6,0.8017081995290088,0.779520074988283,0.7643918082559701,0.7526956259166594,0.7641643224149005,0.7645813797901947,0.740689911244995,0.7506735834706589,0.7502916354981299,0.7
776626,0.750821843863161,0.7420796295396771,0.7362529981051974,0.7318205013153148,0.7247135115606936,0.745942643295239,0.7198424131207503,0.7258628127222854,0.7149975178510711,0.7,0.7420498394348106,0.7351459315251223,0.7308309890815672,0.727689710982659,0.7308309890815672,0.7308309890815672,0.724045147752617,0.726993233956304,0.726762223733424,0.6
776627,0.7640472163066626,0.7508812673945622,0.7424301515388221,0.7361663833163323,0.7447779012894621,0.7401573299717132,0.734366715588488,0.7374611307446917,0.726762223733424,0.8,0.7715517504635184,0.7573217198511364,0.747701928748378,0.7403098787431006,0.7390425732285512,0.7549045702555238,0.7373050855024512,0.7408130174104873,0.726762223733424,0.9
776628,0.7225969630716703,0.7215782516916885,0.720990299250491,0.7205835908333252,0.7131728245586627,0.7271973070530156,0.7157721798775014,0.7173540385535829,0.7149975178510711,0.6,0.6393214947735574,0.6614097049399305,0.6763028558581479,0.6877258016038612,0.6716268428914723,0.6802141824938067,0.685897241314625,0.6808834818467413,0.6561739884393064,0.6
776629,0.7508414895331966,0.7419442385916374,0.7360797165687084,0.731652948332046,0.7247135115606936,0.7458475489974711,0.7314035033561661,0.7329548422252602,0.7385269296157769,0.8,0.7097580997717007,0.7142576609391085,0.7162033287404221,0.7173527348057069,0.7130565524976274,0.7191896461379752,0.715680265415857,0.715909155283519,0.7229423153060417,0.75
776630,0.7223304120827896,0.7212644225320187,0.7207209081229085,0.720371296151643,0.7207209081229085,0.7207209081229085,0.7184835493316359,0.7195034825931241,0.7207209081229085,0.7,0.7346637711706534,0.7306121877406858,0.7278427897013198,0.7256977950322588,0.7197198779704561,0.7345744845059029,0.7181041672038734,0.7214777221816465,0.7149975178510711,0.7
776631,0.6854821968313017,0.6997292296365186,0.7065599987897048,0.7108102551516873,0.7111268558806921,0.7023536830480059,0.7073908440262534,0.707074614908576,0.6972359988956056,0.6,0.7253363911141172,0.723826706967372,0.7227887991164846,0.7219815374546832,0.7118558232049281,0.7319163294646648,0.7175713755217765,0.7191048166610905,0.7150456460193936,0.7
776632,0.7540640792733279,0.7415361008933264,0.734684862716763,0.7300975119376728,0.734684862716763,0.734684862716763,0.7376565852435584,0.7365628661782215,0.734684862716763,0.9,0.6040050578034682,0.6380071404284257,0.6599439679283983,0.6762594833815029,0.6640780346820809,0.656311000175162,0.6841407414199174,0.6733330719364533,0.6561739884393064,0.6
776633,0.776392585521283,0.756388285313266,0.7451557605636604,0.7375153337031316,0.7440408308614057,0.7461993559010787,0.7380069440831524,0.7412563173554216,0.7385791251535417,0.8,0.6866961151763936,0.6955390854860883,0.7015986509844484,0.7063004416281982,0.6864358404227895,0.7140954728759253,0.7019472058790261,0.700183935221199,0.69152030162413,0.6
776634,0.7262059236343845,0.7243034369863293,0.723068649979178,0.7221464964475541,0.7235622099767982,0.7226669150973938,0.7217161175669716,0.7223957684037727,0.7268144192711888,0.8,0.6258090386361345,0.6694701343549345,0.6879297887948684,0.6987188295451987,0.6879297887948684,0.6879297887948684,0.6892823625830542,0.6886183912634046,0.6879297887948684,0.0
