captured_at_utc,commence_time,away_team,home_team,book_key,book,market,point,outcome,price
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TOR,NYY,betmgm,BetMGM,totals_1st_5_innings,4.0,Under,-105
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TOR,NYY,betmgm,BetMGM,totals_1st_1_innings,0.5,Over,105
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TOR,NYY,betmgm,BetMGM,totals_1st_1_innings,0.5,Under,-135
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TOR,NYY,betus,BetUS,totals_1st_5_innings,4.0,Over,-120
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TOR,NYY,betus,BetUS,totals_1st_5_innings,4.0,Under,-110
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TOR,NYY,betrivers,BetRivers,totals_1st_1_innings,1.5,Over,220
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TOR,NYY,betrivers,BetRivers,totals_1st_1_innings,1.5,Under,-335
2026-08-23T15:58:11+00:00,2026-08-23T17:41:00Z,WSH,MIA,fanduel,FanDuel,totals_1st_1_innings,0.5,Over,-104
2026-08-23T15:58:11+00:00,2026-08-23T17:41:00Z,WSH,MIA,fanduel,FanDuel,totals_1st_1_innings,0.5,Under,-122
2026-08-23T15:58:11+00:00,2026-08-23T17:41:00Z,WSH,MIA,fanduel,FanDuel,totals_1st_5_innings,4.5,Over,-110
2026-08-23T15:58:11+00:00,2026-08-23T17:41:00Z,WSH,MIA,fanduel,FanDuel,totals_1st_5_innings,4.5,Under,-118
2026-08-23T15:58:11+00:00,2026-08-23T17:41:00Z,WSH,MIA,betonlineag,BetOnline.ag,totals_1st_1_innings,0.5,Over,-110
2026-08-23T15:58:11+00:00,2026-08-23T17:41:00Z,WSH,MIA,betonlineag,BetOnline.ag,totals_1st_1_innings,0.5,Under,-120
2026-08-23T15:58:11+00:00,2026-08-23T17:41:00Z,WSH,MIA,betonlineag,BetOnline.ag,totals_1st_5_innings,4.5,Over,-116
2026-08-23T15:58:11+00:00,2026-08-23T17:41:00Z,WSH,MIA,betonlineag,BetOnline.ag,totals_1st_5_innings,4.5,Under,-104
2026-08-23T15:58:11+00:00,2026-08-23T17:41:00Z,WSH,MIA,mybookieag,MyBookie.ag,totals_1st_5_innings,4.5,Over,-105
2026-08-23T15:58:11+00:00,2026-08-23T17:41:00Z,WSH,MIA,mybookieag,MyBookie.ag,totals_1st_5_innings,4.5,Under,-117
2026-08-23T15:58:11+00:00,2026-08-23T17:41:00Z,WSH,MIA,bovada,Bovada,totals_1st_5_innings,4.5,Over,-110
2026-08-23T15:58:11+00:00,2026-08-23T17:41:00Z,WSH,MIA,bovada,Bovada,totals_1st_5_innings,4.5,Under,-120
2026-08-23T15:58:11+00:00,2026-08-23T17:41:00Z,WSH,MIA,williamhill_us,Caesars,totals_1st_1_innings,0.5,Over,100
2026-08-23T15:58:11+00:00,2026-08-23T17:41:00Z,WSH,MIA,williamhill_us,Caesars,totals_1st_1_innings,0.5,Under,-130
2026-08-23T15:58:11+00:00,2026-08-23T17:41:00Z,WSH,MIA,williamhill_us,Caesars,totals_1st_5_innings,4.5,Over,-115
2026-08-23T15:58:11+00:00,2026-08-23T17:41:00Z,WSH,MIA,williamhill_us,Caesars,totals_1st_5_innings,4.5,Under,-115
2026-08-23T15:58:11+00:00,2026-08-23T17:41:00Z,WSH,MIA,betmgm,BetMGM,totals_1st_5_innings,4.5,Over,-118
